WKT,name,description
"POINT (77.094912 28.462015 0.0)",blinkit,
"POINT (77.04601 28.427039 0.0)",Blinkit sector 47,
"POINT (77.041041 28.461018 0.0)",Blinkit online store,
"POINT (77.086489 28.472832 0.0)",Blinkit store,
"POINT (77.072826 28.413124 0.0)",Blinkit Store (Online) Sector 50,
"POINT (77.056567 28.390908 0.0)",BlinkIt Store(Dark Store),
"POINT (77.073085 28.441506 0.0)",Blinkit warehouse,
"POINT (77.045226 28.402609 0.0)",Blinkit Dark Store,
"POINT (77.059314 28.406399 0.0)",Blinkit Dark Store,
"POINT (77.035943 28.417696 0.0)",Blinkit store sector 48,
"POINT (77.094273 28.476909 0.0)",Blinkit,
"POINT (77.010676 28.473804 0.0)",Blinkit,
"POINT (77.016104 28.515273 0.0)",Blinkit Super Store Sec 112,
"POINT (76.95337 28.451091 0.0)",Blinkit godown,
"POINT (76.941018 28.355486 0.0)",Blinkit Store (Online) Sector 50,
"POINT (76.963828 28.380667 0.0)",BLINKIT GROFERS ES52,
